ASV	Domain	Phylum	Class	Order	Family	Genus	Species	
ceb7c0fcfd1677e1406f67c2edfc9807	d__Bacteria						
3342ab1f18a2ad5ca69e3ad1d9d48367	Unassigned						
b283043b32bcb8a396859dd2de0e3123	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Kiloniellales	 f__Kiloniellaceae	 g__Pelagibius	
968cff72bcd9301c37f4bc39c3e6154a	d__Bacteria	 p__Verrucomicrobiota	 c__Lentisphaeria	 o__Lentisphaerales	 f__Lentisphaeraceae	 g__Lentisphaera	 s__uncultured_bacterium
8c374b9a71b185593e14cc0ad2a2bcdb	d__Bacteria	 p__Desulfobacterota	 c__Desulfobulbia	 o__Desulfobulbales	 f__Desulfocapsaceae	 g__Desulfopila	 s__uncultured_bacterium
89544081ef7cbefeef84440e62622266	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
94610640000f746e555588a0a60e33b4	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Rubinisphaeraceae		
2d8f650ce9816ec912212c966d31a8e5	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Rubritalea	 s__Rubritalea_spongiae
36305c99846e10d07aa72e933797eaf0	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Opitutales	 f__Puniceicoccaceae	 g__Lentimonas	 s__uncultured_bacterium
f9e1babacfa7bd5f24a29c0bd3630d1e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Arenicellales	 f__Arenicellaceae	 g__Arenicella	 s__uncultured_gamma
4c22090bf525e06e94e04eeaecafab23	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae		
f3fec15683438a642d0ea9daded35733	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__Micavibrionaceae	 g__uncultured	 s__uncultured_bacterium
72e785db6c7995c75368ac80736a1680	d__Bacteria	 p__Cyanobacteria	 c__Vampirivibrionia	 o__Caenarcaniphilales	 f__Caenarcaniphilales	 g__Caenarcaniphilales	 s__uncultured_bacterium
d8f3589f61176447c93911de1f38274a	d__Bacteria	 p__Firmicutes	 c__Negativicutes	 o__Veillonellales-Selenomonadales	 f__Veillonellaceae	 g__Dialister	 s__Dialister_propionicifaciens
b8cbfc8acf9ba9803c2b57d614f9353d	d__Bacteria	 p__Planctomycetota	 c__SGST604	 o__SGST604	 f__SGST604	 g__SGST604	 s__uncultured_planctomycete
63a309c1fb88d8fe38b3957937b29d38	d__Bacteria	 p__NB1-j	 c__NB1-j	 o__NB1-j	 f__NB1-j	 g__NB1-j	
fdaab89597b99f015bc67aee2af95502	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__uncultured	 s__uncultured_bacterium
1e1506bc9278e3474b9755ea52fc15a0	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__uncultured	
736d43f975bfd88b45fbfa6fed4e098d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__uncultured	 s__uncultured_Alphaproteobacteria
b3782ea0d80ea658b42dfcdb6ca7437e	d__Bacteria	 p__Desulfobacterota	 c__Desulfobacteria	 o__Desulfobacterales	 f__Desulfobacteraceae	 g__uncultured	 s__uncultured_delta
b95f69afaf893df86ed46320d9b939e8	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__Micavibrionaceae	 g__uncultured	 s__uncultured_bacterium
a5edc2ac12b94753ab8a0e3a3fa21ea5	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
5e913fbe49e036c861143f5c88fa41e4	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Roseibacillus	
fd7ead75708f398241639ef8dea463fe	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingorhabdus	
c5ed64e49ca2e993f8dfe4136e384521	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidetes_VC2.1_Bac22	 f__Bacteroidetes_VC2.1_Bac22	 g__Bacteroidetes_VC2.1_Bac22	 s__uncultured_Bacteroidetes
f6bee8ddb3080f5e26a874997a37b87b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
317dc066c7d8be12c8205583f635001a	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Vibrionales	 f__Vibrionaceae	 g__Vibrio	
5ae5444a043283a6e503069a12624fa5	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	 s__uncultured_bacterium
9edeebd988710970c7876099e5909edb	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Gammaproteobacteria_Incertae_Sedis	 f__Unknown_Family	 g__uncultured	 s__uncultured_sediment
fecac266b88641cc89168e0c57a77cd5	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__Hellea	
534bda6b35c687dbf177c1b41784f95d	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Cyanobacteriales	 f__Xenococcaceae	 g__Pleurocapsa_PCC-7319	 s__Pleurocapsa_minor
14b2884a1e2ddd54294f237b1ae13e1e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
5427a30ae7854b425ff0ea0e75fc6baf	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Blastopirellula	 s__uncultured_Pirellula
7f5ccba8f170ae0f9addde18b277cb5e	d__Bacteria	 p__Proteobacteria					
8fd4ba1b12970f8890cf047c9de9466b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Rubidimonas	 s__Rubidimonas_crustatorum
97a95f1d226b115bfcf6604e20add01c	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Lewinella	
e5723e35fb2eddbb03cd9c1481a16342	d__Bacteria	 p__Desulfobacterota	 c__Desulfobulbia	 o__Desulfobulbales	 f__Desulfobulbaceae	 g__uncultured	 s__uncultured_Desulfobulbus
1f7262a95ba54c7da2d9d9a569ec48ff	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Oceanospirillales	 f__Saccharospirillaceae	 g__Saccharospirillaceae	 s__uncultured_deep-sea
1db7082c693f2b6e90bacb52b8abb021	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Granulosicoccales	 f__Granulosicoccaceae	 g__Granulosicoccus	 s__uncultured_gamma
7fb4dc7a8417529feafafbb4059d8228	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Kiloniellales	 f__Kiloniellaceae	 g__uncultured	 s__uncultured_bacterium
61d0b2fbfc42a93c5fd7889b02365771	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__Robiginitomaculum	 s__Robiginitomaculum_antarcticum
24780c4eb57d952fe44b65667d980407	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Jannaschia	
0763d15fa1cb5729c4f1101b058a74ad	d__Bacteria						
3cba25287e5ca94369e21da5ef5b0d60	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pir4_lineage	
d5a0a6da2f75082956a21305f8251634	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Pibocella	 s__uncultured_bacterium
21f1b46d49e7459374b1311d9e0f881c	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Ectothiorhodospirales	 f__Ectothiorhodospiraceae	 g__Thiogranum	
2e0916328cb2b03daad978f3582c6bd4	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Alteromonadaceae		
d3bd93a07b2479edb1e3b21076773683	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Lewinella	
5b70322492401cb5022fde20eba07b6f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Halieaceae		
b75edd42dc0f5b4cb8cf6c02849179dd	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Arenibacter	
6905bc71747ab3f61087ce6eec8e0e3e	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae		
0a1fb5518de69ea0d2cb796bae3377d9	Unassigned						
f462ad7e554ffbad9e50dab6f4a00e25	d__Bacteria	 p__Zixibacteria	 c__Zixibacteria	 o__Zixibacteria	 f__Zixibacteria	 g__Zixibacteria	 s__uncultured_bacterium
7821e377d84bebed155882729722db0c	d__Bacteria	 p__Campilobacterota	 c__Campylobacteria	 o__Campylobacterales	 f__Arcobacteraceae	 g__Pseudarcobacter	 s__uncultured_Arcobacter
62c6f0bbf3af80b7455fca70a91e5823	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Altererythrobacter	 s__uncultured_Sphingomonadales
6c26acbf5dd0a0b9064d2de6ed5d7ef0	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiotrichales	 f__Thiotrichaceae	 g__Leucothrix	
597a1dc1d37c2d1e7c1156aa897c911e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
d78044c7329efa6a6a3c84853cec4728	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Psychromonadaceae	 g__Psychromonas	
06e8033133fc245d7e6f1bdcad0ac4f2	d__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	
7b46ccf7c987fa3b49b3d0e6e2557d09	d__Bacteria	 p__SAR324_clade(Marine_group_B)	 c__SAR324_clade(Marine_group_B)	 o__SAR324_clade(Marine_group_B)	 f__SAR324_clade(Marine_group_B)	 g__SAR324_clade(Marine_group_B)	 s__uncultured_organism
15becc5665156cd7dc44019debdcc751	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae		
e30ed05246223eb05e1884e66a96f2e0	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidetes_BD2-2	 g__Bacteroidetes_BD2-2	
450587568b2767fdd69e085574696d95	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
6e12bda40f7c08ef3badf292d2fb682b	d__Bacteria	 p__SAR324_clade(Marine_group_B)	 c__SAR324_clade(Marine_group_B)	 o__SAR324_clade(Marine_group_B)	 f__SAR324_clade(Marine_group_B)	 g__SAR324_clade(Marine_group_B)	 s__uncultured_bacterium
cf58e787458517f23d4f3e9b17cd5fc1	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Porticoccaceae	 g__C1-B045	 s__Cladosiphon_okamuranus
873ddec9546d4be920e181861f16abc9	d__Bacteria	 p__Bacteroidota	 c__Rhodothermia	 o__Rhodothermales	 f__Rhodothermaceae	 g__Rubricoccus	 s__Rubricoccus_marinus
3fd85cd63c6c1be2d8696e7be27cd56d	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae		
30112b246270af20e7f494a958b728bd	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiales_Incertae_Sedis	 g__Bauldia	 s__uncultured_Alphaproteobacteria
5d89fdabbcaf8c38c4d83888d7a59ed4	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
58916214d4a3a0a263aa2ca7f718c048	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidetes_BD2-2	 g__Bacteroidetes_BD2-2	
73a3904217e39f4b1b838bd8c6e28e39	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Aureispira	
ddbd65cf277fd11149db77a5103e76ce	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Thalassobaculales	 f__uncultured	 g__uncultured	 s__alpha_proteobacterium
e4f3d7aae20c6ed0b4d4d9e21b94a153	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae		
264d5f4048629e9d6ca49b106a638f34	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae		
297ce275aa45423729cab816c360d5e2	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__Phycisphaeraceae	 g__Phycisphaera	
4f063da2c221207d1732b3fcb33c1c79	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Taibaiella	 s__uncultured_Bacteroidetes
5e8e7daccfbc5db700471ac36658a75f	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcales-Tissierellales	 g__uncultured	 s__uncultured_Clostridium
a6cef622992aad2a16a892df801d8ce2	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Opitutales	 f__Opitutaceae	 g__Alterococcus	 s__uncultured_Verrucomicrobiales
4cd5412400a168c27b5939fd468590ae	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae		
e5cb26da8d1e5e7c814ed3a370204177	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Blastopirellula	 s__uncultured_planctomycete
0efbae493557f2fbb5c494fe10abb914	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Ulvibacter	 s__Ulvibacter_sp.
661de1fbe6dfea3206cbf91e8566b27d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Granulosicoccales	 f__Granulosicoccaceae	 g__Granulosicoccus	
06dea36e0c2cc58a9b859f00c13c4187	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
ebc1eb0d4d7c5e9d548e9388a9d69e9a	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Granulosicoccales	 f__Granulosicoccaceae	 g__Granulosicoccus	
e20b74a387c87fc897ef3053dd30b393	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Brevundimonas	
9f36caaaf26e466392b3bc7d7bfb1079	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Aquibacter	
633dafc06cb755cf50edbe1a7daecfca	d__Bacteria	 p__Acidobacteriota	 c__Subgroup_22	 o__Subgroup_22	 f__Subgroup_22	 g__Subgroup_22	
289e6a65040115614c4ce59fa14c0890	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Portibacter	 s__uncultured_bacterium
6bca4e92bb95285333a62b3b659089ce	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__Micavibrionaceae	 g__uncultured	 s__uncultured_bacterium
ed84a09a8e1ad622f29e776fe62f29e3	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__DEV007	 g__DEV007	
2bbcddc040a71da80f60169275142153	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Alteromonadaceae	 g__Glaciecola	
b876a513019f3bd1d4e7bf4db423ebbb	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Opitutales	 f__Puniceicoccaceae	 g__Lentimonas	
5b4b18fa39e72dc955aaa4adb8f1bf41	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Acinetobacter	
1cc44541840c1507f39cd10a6f1fed6b	d__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Gracilibacteria	 f__Gracilibacteria	 g__Gracilibacteria	
9b428440a46b088918ab76e35dc09773	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Rubidimonas	 s__uncultured_bacterium
61566c6f3ea8ee40af43a52897540b19	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__uncultured	 g__uncultured	
1dc7926955d556ddac920dbce8050c3b	d__Bacteria						
902a77c8363ba44f574f738f52c2c5c0	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Rubritalea	 s__uncultured_bacterium
ed5ca50368921f10981b69090515353b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae		
13aa71d6faad48229a2c7f5583e9f467	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Mycoplasmatales	 f__Mycoplasmataceae	 g__Mycoplasma	 s__uncultured_bacterium
4370e92829aa28ff74921a77221b1ac4	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Halieaceae		
9ab2b867537213fb5a8643a52c763085	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Arenicellales	 f__Arenicellaceae	 g__Arenicella	
2323dbf6c4c11f6a3b7aa1332dad4916	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Lewinella	
62421c8f366577969579d7723b1f8f78	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__NS9_marine_group	 g__NS9_marine_group	 s__uncultured_Flavobacterium
3f51a896bf3dbbb840a71f764cfee150	d__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	 s__uncultured_bacterium
8e39738689fa7f6f38a220ea09da5950	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Algitalea	 s__uncultured_bacterium
162448fa3ecfda30932785213da699ad	d__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Absconditabacteriales_(SR1)	 f__Absconditabacteriales_(SR1)	 g__Absconditabacteriales_(SR1)	 s__uncultured_Epsilonproteobacteria
e06dbd1cea3ae7099c7495cbda9eaa16	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Polaribacter	
0871da4a22fc56648fe568eb534d4c62	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Sandaracinaceae	 g__uncultured	
2f9697d32e6a18d9a77a9e7b2b8c4f46	d__Archaea	 p__Asgardarchaeota	 c__Odinarchaeia	 o__Odinarchaeia	 f__Odinarchaeia	 g__Odinarchaeia	 s__uncultured_crenarchaeote
8bf66a4548e9334997fde16c97883bdf	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__uncultured	 s__uncultured_Bacteroidetes
63042fd49dedf4243f475085f91c0096	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales			
e185bc979200ef909bc258c8c4a8f6fb	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Paludibacteraceae		
38ec380c27ec8f9a38cabdfb429ef251	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales			
b096e87059931e126d0381539afc67ca	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__uncultured_bacterium
9637a2d5779eb74233c2261ae35b8881	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	
973eef712bcfb42db1237f38fab01be1	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae		
d1f7168e7e7674bde813573ab70c8150	d__Bacteria	 p__Spirochaetota	 c__Spirochaetia	 o__Spirochaetales	 f__Spirochaetaceae	 g__Sediminispirochaeta	 s__uncultured_organism
4f704978e128dbefbfc32cf1787220a7	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae		
2c3820fda0c044739e16efa72c7f9f98	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiotrichales	 f__Thiotrichaceae	 g__Cocleimonas	
5fcea8acf4ec39df37be8ea306404a02	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae		
7c6fa8cf51fbb1ea05809535961e56a2	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Pricia	 s__uncultured_bacterium
169c576b35908f42e811c998ef2ca566	d__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__OM27_clade	 s__uncultured_bacterium
a41e37c8864e3ebe7318dda86086ad0b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae	 g__uncultured	
a6925ccd156a493d0160aee36830ec3c	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__Phycisphaeraceae	 g__Urania-1B-19_marine_sediment_group	
7a51b7be7eaf4c03e323861f8f67699f	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Amoebophilaceae		
24d300a54adc39b954c08f67bbef6806	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Chthoniobacterales	 f__Chthoniobacteraceae	 g__Chthoniobacteraceae	 s__uncultured_bacterium
5c2fbfdfc26bfa94ee580895656bb7d1	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__KI89A_clade	 f__KI89A_clade	 g__KI89A_clade	 s__uncultured_bacterium
46f574af58cf79f24da664e24f1b37c7	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Colwelliaceae	 g__Colwellia	
dfa04085fc855316b04630d3e1653770	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Spongiibacteraceae		
1c4eaf774de194f49e4e5cbaaccbc26f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiotrichales	 f__Thiotrichaceae	 g__uncultured	
f77e513072c665c4c70abf9d3f454de2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Porticoccaceae	 g__C1-B045	 s__Cladosiphon_okamuranus
1f3e00a50b0991448f7ac75b90a3e035	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae		
3707ec2d4c946178d94154d60b8528b5	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Microtrichaceae	 g__Sva0996_marine_group	 s__uncultured_marine
f6316fe96be76a0ebed28b87c8218776	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Cellulophaga	
4034cf7a799fd0532401b16e6d7492c1	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__Micavibrionaceae	 g__uncultured	 s__uncultured_bacterium
949bfd71d344024cb28a98e322869c7a	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Polaribacter	
e0295c952324ea827a88e6e045cf8493	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Maritimimonas	 s__uncultured_marine
0fea8930a64cbfe556d24d78d38a8f3e	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Bythopirellula	 s__uncultured_bacterium
adcbd9589a4a05601b34bcf2686a01d1	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Ardenticatenales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
6543639e8d6a546d6779cd64fbf1449b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Maribacter	
2f4dbdec4c556dea7b6618ff45c835c9	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae		
d887d3c69b838bd50e693a53b18d414b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__SM2D12	 g__SM2D12	 s__uncultured_bacterium
82108396a6beead9ec5ab2d180ec1a71	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__MSBL9	 f__SM23-30	 g__SM23-30	 s__uncultured_bacterium
8bb324ff752c0498e70a8e9e826dcf9f	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__DEV007	 g__DEV007	
4c77d39334cc7d81320799b1b3e0ac14	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__uncultured	 g__uncultured	
3b27b59c5c9bada697d05d6570f368bf	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
4b11d21e24abfe8a5a9df7aeead5c0ce	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__Micavibrionaceae	 g__uncultured	 s__uncultured_bacterium
cef7d06aab1aa62db06adf267d73006d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Oceanospirillales	 f__Marinomonadaceae	 g__Marinomonas	
e841ffd79c2b8ff24945e6faa8a6246a	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Gammaproteobacteria_Incertae_Sedis	 f__Unknown_Family	 g__uncultured	
8d68cab5c3f439b7bd9563ea1dfeb50b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
23f49e97c44083651b8485bee4255324	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Polaribacter	
9778f08c1f90976343c4a4b2837705b2	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
516b430219b9917a41355c4bc583a982	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Parvularculaceae	 g__Hyphococcus	 s__uncultured_bacterium
