ASV	Domain	Phylum	Class	Order	Family	Genus	Species	
7f32e6b86a3e17e9d05be1cf2897033e	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__uncultured	 g__uncultured	 s__uncultured_Sphingobacteriales
f3e709d48e8ada8a07a7b4e4265892cd	d__Archaea	 p__Nanoarchaeota	 c__Nanoarchaeia	 o__Woesearchaeales	 f__Woesearchaeales	 g__Woesearchaeales	 s__uncultured_bacterium
a99504cbeb164d89f12920b2e4ab8a94	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Rubinisphaeraceae	 g__uncultured	 s__uncultured_planctomycete
f229f1299e90633890ef0a26b9889ff6	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiotrichales	 f__Thiotrichaceae	 g__Cocleimonas	
3fbc9b94a533e05133d788e8a885a562	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Rhodocyclaceae	 g__Candidatus_Accumulibacter	
b93954edcb360b54077240af2d818c0a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Polymorphobacter	 s__Polymorphobacter_multimanifer
bf04b2af4a88f4a6ddf90b7f37924ecb	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae	 g__uncultured	 s__uncultured_sediment
8d813d62a27364f5a3ed2aec2c39e3f9	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__Robiginitomaculum	 s__uncultured_gamma
685365655317c71977d2e590c7f76ae0	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Prolixibacteraceae	 g__Draconibacterium	
4db3838a05223f263b05055a40fc414b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiotrichales	 f__Thiotrichaceae	 g__uncultured	 s__uncultured_sediment
f555323bd26ef311e22611c99086b548	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Chthoniobacterales	 f__Chthoniobacteraceae	 g__Chthoniobacter	 s__uncultured_Verrucomicrobia
7df080126e22d56b9f419b5b69642ecc	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Pricia	 s__uncultured_bacterium
