ASV	Domain	Phylum	Class	Order	Family	Genus	Species
d5a9baffa9b78d5580a8702ccb1f92d3	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Psychromonadaceae	 g__Psychromonas	
083d12e23e8ae34eb6a1802e50bbfc8f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Psychromonadaceae	 g__Psychromonas	
15e91cd82cf600e25eeb8212cd836632	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Fucus_vesiculosus
80ff897319dfb1eabd12cbdda7fa8c87	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Fucus_vesiculosus
7521b3eaa2204e1de23b6772805795dc	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Vibrionales	 f__Vibrionaceae	 g__Vibrio	
49d8678d9c81eedfe537c17e1a8401d4	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__Chryseolinea	 s__uncultured_Flammeovirgaceae
c94614823e2abb9a8ad6b027cbfa998c	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Fucus_vesiculosus
c317699b7c55fd6d4e77e15d5c1c7e57	d__Bacteria	 p__Fusobacteriota	 c__Fusobacteriia	 o__Fusobacteriales	 f__Fusobacteriaceae	 g__Psychrilyobacter	
0c0a3824f34fddc0b8fb8bb02caf6885	d__Bacteria	 p__Proteobacteria					
7b793fcb26442e6e3ff5b8997a12289a	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Yersiniaceae		
7e516eb95f4a61465dc7389d2bddac3c	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__Chryseolinea	 s__uncultured_Flammeovirgaceae
073d179334526ffee28c056d6acfba98	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	
db70495dcb06709fb4118569db923bb1	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Vibrionales	 f__Vibrionaceae	 g__Aliivibrio	
064f1abe3da068c57beb453bc02a2920	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	
cdb08cb7d4b89700da377ef0c1b8ccde	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Vibrionales	 f__Vibrionaceae	 g__Vibrio	
42ca494d99ed71dbfa7087bdafec6da1	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Blastopirellula	
d49bd393961ddc6081f7a962311012f2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Acinetobacter	
d25b867bfb41f2e222e727bb7e0240c4	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Pseudoalteromonadaceae	 g__Pseudoalteromonas	
8550ec39b706a0a41802581173d11ed1	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Psychromonadaceae	 g__Psychromonas	
04395a365710acc015a728f7bcb9b4ee	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	
df03ffb86809a0a774ae1e8e2ef2804f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Psychromonadaceae	 g__Psychromonas	
375b3ab6e021edc8d58e19efd82dc104	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	
60f9f67aa5d89e53ba0c75ffa57fb037	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Hildenbrandia_rubra
3802fbc70899f16eb6117d650d340de8	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Pleurocladia_lacustris
c66a22e11bceecd368ede8a388899598	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Psychromonadaceae	 g__Psychromonas	
e3aa18e83dccef5a99091762d5cf3c5c	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Acinetobacter	
685c099ca376302e5f1673e6cedbc1a5	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Blastopirellula	
